,nombre,direccion,telefono,correo,sitio_web,id_tarifas,id_habitaciones,id_clasificacion,id_ubicacion
176,HOTEL Y RESTAURANTE ROCK LAND,"CALLE PRINCIPAL LOTE 10 BARRIO MIRAMAR, ZONA 0",44127276,manager@paredonsurf.com,www.paredonsurf.com,177,177,,277.0
177,HOTEL Y RESTAURANTE STARFISH,7 CALLEJON LOTE 9-A ZONA 0 COLONIA MIRAMAR,84483551,hacastillo@live.com,,178,178,,277.0
178,HOTEL Y RESTAURANTE THE HAPPY INN,"CALLEJON 8 LOTE 5 Y 6 APARTAMENTO ""C"" ZONA 0 BARRIO MIRAMAR",29974131,athehappyinn@gmail.com,,179,179,,277.0
179,MAYAN HOTEL,"LOTE # 2 COLONIA QUITA SOMBRERO, BARRIO MIRAMAR",65118637,mayanhotel@hotmail.com,,180,180,,277.0
180,RESTAURANTE Y MINI HOTEL EL DORADO,"LOTE 13 ""A"", ENTRE CALLE PRINCIPAL Y LADO, PLAYA BARRIO LABERINTO",78570861,marioefrainm@yahoo.com,,181,181,,277.0
181,SAILFISH OASIS,"CALLE PRINCIPAL LOTE 15, CAÑADAS DEL LIKÍN 3, PUERTO",88793527,sofiasantizom@yahoo.com,,182,182,,277.0
182,SOLEIL PACIFICO,COLONIA CHULAMAR,36139371,ventasymercadeo@soleilpacifico.com,www.sorilpacifico.com; www.gruposoleil.com,183,183,5.0,277.0
183,TURICENTRO MARTITA,"5A. CALLE Y AVENIDA DEL COMERCIO ESQUINA, LOTE 26 LOTIFICACION SAN VICENTE",53110800,info@hotelmartita.com,www.hotelmartita.com     fb: hotel martita,184,184,,277.0
184,EMPRESA  HOTELERA SANTIAGUITO,KILOMETRO 90,19265292,hsantiaguito@yahoo.com.mx,,185,185,,59.0
185,"HOTEL ""EL CAMINO"" RESTAURANTE",KILOMETRO 90.5 CARRETERA AL PACIFICO,91099110,hotelelcamino@hotmail.com,,186,186,,59.0
186,HOTEL ECOLÓGICO DON MANUEL,CARRETERA AL PACIFICO KILÓMETRO 106,55202271,offiasesoria@yahoo.es,,187,187,,59.0
187,COCORI LODGE,"CASERÍO MILAGRO DE DIOS , ALDEA EL PARADÓN BUENA VISTA",29477148,info@cocorilodge.com,www.cocorilodge.com,188,188,,71.0
188,HOTEL LA IGUANA DORADA,CARRETERA HACIA SIPACATE PARCELAMIENTO SAN JERÓNIMO PARCELA NO. 5,50757412,limaismael3229@gmail.com,,189,189,,71.0
189,HOTEL MARAVILLAS DEL MAR 2,LOTE 3-4 FRACCION 16 CASERÍO RAMA BLANCA,27171014,jherrera006@yahoo.com,,190,190,,71.0
190,HOTEL Y RESTAURANTE VILLA BARROCA,"CALLE LA EMPALIZADA,",28015012,gerenciavillabarroca@gmail.com; infovillabarroca@gmail.com,www.villabarroca.com,191,191,,71.0
191,KAANA SURF,"4 AVENIDA 5-17 APARTAMENTO A, ALDEA EL PAREDON",85327672,kaanasurfgt@gmail.com; contabilidadjc2018@gmail.com,,192,192,,71.0
192,SUNRISE HOSTEL,4 CALLE LOTE 136 ZONA 0 CASERIO EL MILAGRO,60704601,sunrisehostalelparedon@gmail.com,https://www.airbnb.com/h/surisehostal4elparedon-ss    /    fb: sunrisehostalguatemala,193,193,,71.0
193,THE HARD ROCK HOTEL,1 CALLE 0-15 AVENIDA EMPALIZADA,90066467,thehardrockhotels@hotmail.com,,194,194,,71.0
194,HOTEL DEL PACIFICO,"KILOMETRO 78, CARRETERA CA-2",64352178,hoteldelpacifico@gmail.com,,195,195,,61.0
195,HOTEL CASA BLANCA,8A AVENIDA 2-13 A ZONA 4,69939462,silviajudith2663@gmail.com,,196,196,,63.0
196,HOTEL JIREH,"A UN COSTADO DEL BANCO AGROMERCANTIL FRENTE A CINTA ASFALTICA, ZONA 1",73066200,hotelrestaurantejirehtiquisate@gmail.com,,197,197,,63.0
197,HOTEL Y RESTAURANTE EL FAMILIAR,16 CALLE A34 ZONA 3 COLONIA 15 DE JUNIO,91629677,hotel_elfamiliar@hotmail.com,,198,198,,63.0
198,"HOTEL Y RESTAURANTES ""ESTANCIA DEL VIAJERO NO. 2""",CALLEJON TIERRAS BLANCA CASPIROL,69029390,,,199,199,,63.0
199,KAWILAL HOTEL,"AVENIDA PUENTE DE LA GLORIA, RIVERAS DEL RIO MICHATOYA",40592044,"info@kawilalhote.com, lmaldonado@santaterecita.com.gt",,200,200,,14.0
200,AC MARRIOTT HOTEL,11 AVENIDA 35-02 PASEO CAYALA ZONA 16,23187687,diseno.licencias@cayala.com.gt,www.espanol.marriott.com/hotels/travel/guaar-ac-hotel-guatemala-city/,201,201,4.0,1.0
201,ADRIATIKA,"4TA. AVENIDA, 20-44 ZONA 14",96643748,info@adriatika.com.gt,www.adriatika.com.gt,202,202,4.0,1.0
202,ANTIGUA INN HOTEL,12 CALLE 2-20 ZONA 10,95513243,antigua.inn00@gmail.com,fb: hotel antigua inn guatemala,203,203,,1.0
203,APART HOTEL SUITES REFORMA,AVENIDA REFORMA 12-51 ZONA 10,99651907,reservaciones@suitesreforma.com.gt; etoledo@suitereforma.com.gt,www.suitesreforma.com.gt,204,204,3.0,1.0
204,APARTAMENTOS REFORMA,AVENIDA REFORMA 15-25 ZONA 10,54314880,apartamentosreforma@gmail.com,www.apartamentosreforma.com,205,205,,1.0
205,APART-HOTEL CASA SERENA,14 CALLE 5-09 ZONA 10,15240661,tseidner@hotelcasaserena.com;info@hotelcasaserena.com;agalicia@hotelcasaserena.com,www.hotelcasaserena.com,206,206,4.0,1.0
206,BEST WESTERN HOTEL STOFELLA,2 AVENIDA 12-28 ZONA 10,80171647,info@stofella.com,www.stofella.com,207,207,4.0,1.0
207,BRESCIANI,10 AVENIDA 19-87 ZONA 10,74207164,hotelbresciani@gmail.com; bresciani@intelnet.net.gt,www.hotelbresciani.com.gt,208,208,4.0,1.0
208,CASA CARMEL,14 CALLE 3-38 ZONA 1,42727075,info@casacarmelguatemala.com,www.casacarmelguatemala.com,209,209,,1.0
209,CASA DEL ANGEL,"18 CALLE 9-50 ZONA 13 AURORA II, APARTAMENTO A",26412513,casadelangel.guate@gmail.com,www.casadelangelguate.com,210,210,,1.0
210,CASA VERANDA,12 CALLE 1-24 ZONA 10,47159599,reservaciones@hotelcasaveranda.com,www.hotelcasaveranda.com / fb: casaverandaguatemala,211,211,4.0,1.0
211,CENTRAL HOTELERA LA ERMITA,12 CALLE 8-42 ZONA 1,89147528,ermita2013trabajo@live.com,,212,212,,1.0
212,COMERCIAL Y HOTEL LA NOVENA,9 AVENIDA 16-38 ZONA 1,91395494,clarissxela1@hotmail.com,,213,213,,1.0
213,COMFORT HOSTEL,17 CALLE 14-35 ZONA 10,59367097,info@comforthostel.com,www.comforthostel.com,214,214,,1.0
214,CONQUISTADOR HOTEL & CONFERENCE CENTER,VIA 5 4-68 ZONA 4,12813849,reservaciones@hotelconquistador.com.gt,www.hotelconquistador.com.gt  /  fb: conquistador hotel & conference center,215,215,,1.0
215,COURTYARD BY MARRIOTT GUATEMALA,1A. AVENIDA 12-47 ZONA 10,32864219,lgonzalez@grupoazur.com,www.marriott.com,216,216,4.0,1.0
216,DAI NONNI HOTEL,"15 AVENIDA ""A"" 5-30 ZONA 13",30998041,,www.dainonnihotel.com,217,217,,1.0
217,DOS LUNAS GUEST HOUSE,21 CALLE 10-92 ZONA 13 AURORA II,14806765,"hoteldoslunas@gmail.com, info@hoteldoslunas.com;hoteldoslunas@gmail.com",www.hoteldoslunas.com,218,218,,1.0
218,ECO HOTEL LOS PROCERES,18 CALLE 3-03 ZONA 10,19485069,ecoproceres@hotmail.com; eco.proceres@yahoo.com,,219,219,,1.0
219,EL PALACIO DE JOCOTENANGO HOTEL,AVENIDA SIMEON CAÑAS 5-07 ZONA 2,25471732,palaciojocotenango@gmail.com,,220,220,,1.0
220,GOOD HOTEL GRANAT,RUTA 4 6-32 ZONA 4 EDIFICIO GRANAT,40340731,hello.guatemalacity@goodhotel.co,www.goodhotel.co/guatemala-city  /  inst: goodhotel.co  /  fb: goodhotel,221,221,,1.0
221,GRAND TIKAL FUTURA HOTEL,CALZADA ROOSEVELT 22-43 ZONA 11,72771244,hotel@grandtikalfutura.com.gt; jpacheco@grandtikalfutura.com.gt,www.grandtikalfutura.com.gt,222,222,,1.0
222,HILTON GARDEN INN GUATEMALA CITY,13 CALLE 7-65 ZONA 9,91039320,reservaciones@hotelesprincess.com,www.hotelprincess.com/guatemala,223,223,,1.0
223,HOLIDAY INN GUATEMALA,1A. AVENIDA 13-22 ZONA 10,26434590,reservacionesholiday@hinn.com.gt; secregerencia@hinn.com.gt,www..holidayinn.com/guatemalacity; www.hinn.com.gt,224,224,4.0,1.0
224,HOSTAL DONDE REGINA,15 CALLE A 7-12 ZONA 13 AURORA 1,36502538,dondereginahostal@gmail.com,,225,225,,1.0
225,HOSTAL GUATEFRIENDS,16 CALLE 7-40 APARTAMENTO B ZONA 13 COLONIA AURORA I,76319592,hostalguatefriends@gmail.com,www.hostalguatefrienes.com  /  fb e ig: hostal guatefriends,226,226,,1.0
226,HOSTAL LOS VOLCANES,"16 CALLE, 8-00 ZONA 13",47708789,info@hostallosvolcanes.com,www.hostallosvolcanes.com,227,227,,1.0
227,HOSTAL VILLA TOSCANA,16 CALLE 8-20 ZONA 13 AURORA I,79656696,info@hostalvillatoscana.com,www.hostalvillatoscana.com  -  fb: hostal villa toscana,228,228,,1.0
228,HOTEL AJAU,"8A. AVENIDA, 15-62 ZONA 1",22607553,info@hotelajau.com,www.hotelajau.com     fb: hotelajauguatemala,229,229,,1.0
229,HOTEL AJAU COLONIAL,7 AVENIDA 14-19 ZONA 1,79913181,info@hotelajaucolonial.com,www.hotelajaucolonial.com     fb: ajau colonial,230,230,,1.0
230,HOTEL BARCELO GUATEMALA CITY,7 AVENIDA 15-45 ZONA 9,79918810,guatemalacity@barcelo.com,www.barcelo.com,231,231,,1.0
231,HOTEL BELVEDERE,21 AVENIDA B 0-04 ZONA 15 VISTA HERMOSA II,76740703,hotelbelvedereguatamala@gmail.com,www.hotelbelvedereguatemala.com,232,232,,1.0
232,HOTEL BILTMORE,15 CALLE 0-31 ZONA 10,41544328,contador@hotelbiltmore.com.gt,www.hotelbiltmore.com.gt,233,233,,1.0
233,HOTEL CAMINO REAL ( WESTIN CAMINO REAL ),14 CALLE 0-20 ZONA 10,28594059,gerente_reservaciones@caminoreal.com.gt; reservaciones@caminoreal.com.gt,www.hotelcaminoreal.com.gt,234,234,5.0,1.0
234,HOTEL CAPRIZZO,14 AVENIDA 26-42 ZONA 11 COLONIA GRANAI III,80247059,,,235,235,,1.0
235,HOTEL CASA BLANCA INN,"15 CALLE ""C"", 7-35 ZONA 13 COLONIA AURORA I",28369524,hotelcasablancainn1@gmail.com,www.hotelcasablancainn.com,236,236,,1.0
236,HOTEL CASA SALOME,"3RA. AVENIDA ""A"" 1-34 ZONA 1",22826548,casasalomehotel@gmail.com,,237,237,,1.0
237,HOTEL CENTENARIO,6A. CALLE 5-33 ZONA 1,26167127,centenario@itelgua.com,www.hotelcentenario.wordpress.com,238,238,,1.0
238,HOTEL CIUDAD VIEJA,8 CALLE 3-67 ZONA 10,11168707,info@hotelciudadvieja.com,www.hotelciudadvieja.com,239,239,3.0,1.0
239,HOTEL DE DON PEDRO,4TA. AVENIDA 3-25 ZONA 1,94643676,info@hostaldedonpedro.com,www.hostaldedonpedro.com,240,240,,1.0
240,HOTEL EVER GREEN,11 AVENIDA 16-27 ZONA 10,34759838,hotel.evergreen@gmail.com,www.evergreenguatemala.com,241,241,,1.0
241,HOTEL EXCEL,"9 AVENIDA, 15-12 ZONA 1",56437471,hotelexcel@hotmail.com,www.hotelexcel.net,242,242,,1.0
242,HOTEL INMACULADA,"14 CALLE, 7-88 ZONA 10",58595091,,,243,243,,1.0
243,HOTEL INTERCONTINENTAL GUATEMALA,14 CALLE 2-51 ZONA 10,37353222,inter.gua@r-hr.com,www.realhotelsandresorts.com,244,244,5.0,1.0
244,HOTEL LAS AMERICAS,AVENIDA LAS AMERICAS 9-08 ZONA 13,20684821,ventas@lasamericas.com.gt,www.lasamericas.com.gt     fb:hotel las americas guate,245,245,5.0,1.0
245,HOTEL POSADA DE LOS PROCERES,16 CALLE 2-40 ZONA 10,22844247,posadazv@gua.net,www.posadadelosproceres.com,246,246,,1.0
246,HOTEL PRIMAVERA ( HOTEL SPRING ),"8 AVENIDA, 12-65 ZONA 1",22659578,hotelspring@hotmail.com,www.hotelspring.com,247,247,2.0,1.0
247,HOTEL RESIDENCIA DEL SOL,3 CALLE 6-42 ZONA 9,87982025,delsol@gmail.com,www.residenciadelsol.com,248,248,,1.0
248,HOTEL ROYAL PALACE,"6 AVENIDA, 12-66 ZONA 1",32769902,info@hotelroyalpalace.com,www.hotelroyalpalace.com,249,249,3.0,1.0
249,HOTEL SAN CARLOS,AVENIDA REFORMA 7-89 ZONA 10,78748352,hsancarlos@hsancarlos.com,www.hsancarlos.com,250,250,,1.0
250,HOTEL SANTOÑA,"8 AVENIDA, 15-13 ZONA 1",31680343,hostalesnacionalessa@yahoo.es,www.hotelsantona.com,251,251,,1.0
251,HOTEL SEVILLA,"9 AVENIDA, 12-29 ZONA 1",24689827,hotelsevillac@gmail.com,www.hotelsevilla.com.gt,252,252,2.0,1.0
252,HOTEL VILLA ESPAÑOLA,2 CALLE 7-51 ZONA 9,94878947,info@hotelvillaespanola.com,www.hotelvillaespanola.com  -  fb: hotel villa española,253,253,3.0,1.0
253,HOTEL VISTA 15,2DA. CALLE 20-23 ZONA 15 VISTA HERMOSA I,77034445,info@vistaquince.com,www.vistaquince.com,254,254,5.0,1.0
254,HOTEL Y RESTAURANTE OCTAVA REAL,8 AVENIDA 14-73 ZONA 1,69310387,hoteloctavareal@outlook.es,www.hotel_octava_real.amawebs.com,255,255,,1.0
255,HYATT CENTRIC GUATEMALA CITY,12 CALLE 2-25 ZONA 10,53503261,catalina.munoz@hyatt.com,,256,256,5.0,1.0
256,IN & OUT HOTEL,6A. AVENIDA 15-14 ZONA 13 AURORA I,42252118,reservaciones@inandouthotel.com,www.inandouthotel.com/,257,257,,1.0
257,LA CASONA BONE,14 CALLE 12-35 ZONA 1 BARRIO GERONA,16052590,rjosueazo@gmail.com,,258,258,,1.0
258,LA HOSTERIA DE DON R,CALZADA ROOSEVELTH 37-47 LOCAL B ZONA 11,10131927,lahosteriadedonr@hotmail.com,www.lahosteriadedornr.com,259,259,,1.0
259,LAS GARDENIAS,20 CALLE 17-21 ZONA 10,44638037,hotellas gardenias@gmail.com,,260,260,,1.0
260,MARIANA`S PETIT HOTEL,20 CALLE 10-17 ZONA 13 AURORA II,28340401,reservaciones@marianaspetithotel.com,www.marianaspetithotel.com,261,261,,1.0
261,MAYA EXCELSIOR,"7A. AVENIDA, 12-46 ZONA 1",28445989,mayaexcelsior@hotmail.com,www.mayaexcelsior.com,262,262,,1.0
262,MERAKI BOUTIQUE HOTEL,13 CALLE 3-57 ZONA 10,10884896,rchaves@gruporea.com,,263,263,,1.0
263,NOVOHOSTAL B&B,"8A. AVENIDA ""A"" 17-58 ZONA 13 COLONIA AURORA I",39646557,lucitajordan@novohostal.com,,264,264,,1.0
264,PIEDRA LUNA,15 CALLE 10-62 ZONA 10,65160237,piedraluna@guate.net.gt,www.piedralunahotel.com,265,265,,1.0
265,POSADA MARISCAL,6 AVENIDA 14-39 ZONA 11 COLONIA MARISCAL,69108583,posadamariscal@gmail.com,fb: posadamariscal,266,266,,1.0
266,SANTANDER PLAZA,15 CALLE 3-52 ZONA 10,71438519,santanderreserva@intelnet.net.gt,www.santanderplaza.com,267,267,,1.0
267,SUITES JARDIN IMPERIAL,"0 CALLE, 17-86 ZONA 15 COLONIA EL MAESTRO",35905999,informacion@suitesjardinimperial.com,www.suitesjardinimperial.com.gt,268,268,,1.0
268,SUITES TERRAZA IMPERIAL,"15 AVENIDA ""A"" 4-39 ZONA 13",57806052,gerenciageneral@hotelesdeguate.com,suitesterrazaimperial.com,269,269,,1.0
269,TERRA ESPERANZA,15 CALLE 1-11 ZONA 10 EDIFICIO TERRA ESPERANZA,56464452,admin@terraesperanza.com.gt,www.terraesperanza.com.gt,270,270,,1.0
270,VICLASA ( VIVA CLARION SUITES ),14 CALLE 3-08 ZONA 10,14717349,omartinez@clarionguatemala.com,www.clarionguatemala.com,271,271,5.0,1.0
271,WYNDHAM GARDEN HOTEL GUATEMALA CITY,1A. AVENIDA 12-46 ZONA 10,25025471,reservaciones@wyndhamguatemala.com,www.wyndhamhotels.com     fb/inst: @wyndhamgardenguatemalacity,272,272,,1.0
272,HOTEL CABAÑA SUIZA,KM. 20.8 CARRETERA A LA ANTIGUA LO DE COY,19327463,info@cabanasuiza.com,www.cabanasuiza.com,273,273,,8.0
273,HOTEL TATA CHINO,"3A.CALLE, 12-07 B-01 ZONA 8 SAN CRISTOBAL",39679362,,,274,274,,8.0
274,HOTEL CRISTIANO NIDO DE AGUILAS CASA DE NACIONES,0 CALLE 3-51 ZONA 1 CALLE REAL SAN MIGUEL,51961769,hotelcristianonidodeaguilas@gmail.com,fb / inst / tik:  hotel cristiano nido de aguilas casa de naciones,275,275,,17.0
275,QUINTA DEL SOL,"FINCA SANTIAGO, KILÓMETRO 25.5, RUTA NACIONAL 18",45078305,info@hotelquintadelsol.com,www.hotelquintadelsol.com,276,276,,3.0
276,HILTON GUATEMALA CITY,"KM. 9.5 CA-1 ORIENTE, COMPLEJO VISTA REAL ZONA 4",47295454,contador@vistareal.com   -  martinez@vistareal.com,www.hiltonhoteles.com,277,277,5.0,2.0
277,SAN GREGORIO HOTEL Y SPA,KILÓMETRO 30.5 LOTE 50 CARRETERA SANTA. ELENA BARILLAS LOTIFICACIÓN SAN GREGORIO VISTA LAGO,34806939,sangregoriohotel@gmail.com; info@sangregoriospa.com,www.sangregoriospa.com,278,278,,16.0
278,NUEVO HOTEL EMPERADOR Y CAFETERIA,"6A. AVENIDA, 5-37 ZONA 1",14243062,,,279,279,,223.0
279,HOTEL DON CARLOS,2A. AVENIDA 1-40 ZONA 6,43565741,uber0913@hotmail.com,,280,280,,222.0
280,HOTEL EL CAFE,3A. CALLE 2-40 ZONA 1,45608471,restyhotelelcafe@gmail.com,fb: hotel y restaurant el café,281,281,,222.0
281,UNICORNIO AZUL,"HACIENDA CASCO CHANCOL, (EXCLUSIVO TURISMO ECUESTRE)",35677473,unicornioguatemala@hotmail.com,www.unicornioazul.com,282,282,,198.0
282,FUENTE REAL HOTEL,KILOMETRO 256.5 ALDEA TOJOCAZ,44028228,fuenterealhotel@gmail.com,www.fuenterealhotel.com,283,283,,197.0
283,HOTEL BALMORAL,12 AVENIDA 10-83 ZONA 5,43496566,remydlgonzalez@hotmail.com,,284,284,,197.0
284,HOTEL CASA BLANCA,"7 AVENIDA, 3-41 ZONA 1",69007773,hotelcasablacahuehue@hotmail.com,www.ecommhuehue.com/casablanca,285,285,,197.0
285,HOTEL CASCATA,"LOTE 4, COLONIA ALVARADO, 4-42 ZONA 5 SOBRE LA CALZADA KAIBIL BALAM",40164281,hotelcascata@gmail.com,"www.hotelcascata.ya.st, http://www.facebook.com/hotelcascata1994",286,286,,197.0
286,HOTEL CITY REAL,"6A. AVENIDA ""A"" 12-12 ZONA 5",91186137,hotelcr17@gmail.com,,287,287,,197.0
287,HOTEL CONQUISTADOR,ZONA 5 COLONIA SANTA ELISA CANTON SAN JOSE,63072224,hotel_conquistador@hotmail.com,,288,288,,197.0
288,HOTEL DEL PRADO,ZONA 5 CANTÓN SAN JOSE,19567317,hoteldelpradohuehue_@hotmail.com,,289,289,,197.0
289,HOTEL DESPERTAR CALIFORNIA,3A. AVENIDA 4-25 ZONA 5 COLONIA ALVARADO,88789677,merlingarcia169@gmail.com,,290,290,,197.0
290,HOTEL DON SEBAS,COLONIA JOSEFINA ZONA 5,18112193,hoteldonsebas@gmail.com,,291,291,,197.0
291,HOTEL EL CENTRO,3A. CALLE 2-65 ZONA 1,84799669,hotelelcentr o@hotmail.com,,292,292,,197.0
292,HOTEL EL PORTAL DE LOS CUCHUMATANES,8 AVENIDA 7-23 ZONA 5,15110907,elportaldeloscuchumataneshotel@gmail.com,,293,293,,197.0
293,HOTEL GRANO DEL PARAISO,9 CALLE 12-79 ZONA 5,65703123,hotelgranodelparaiso@gmail.com,,294,294,,197.0
294,HOTEL IPALA,4 AVENIDA 14-97 ZONA 5 CANXAC,87347037,viverosjazmin1@gmail.com,,295,295,,197.0
295,HOTEL LA CASCADA,4A. CALLE 9-275 ZONA 1,12963272,,,296,296,,197.0
296,HOTEL LA CASONA,1 CALLE 6-39 ZONA 8,96612249,maximino84@hotmail.com,,297,297,,197.0
297,HOTEL LAS LOMAS,KILOMETRO 264.15 ZONA 3 1ER CARRIZAL,46844491,,,298,298,,197.0
298,HOTEL LOS ANGELES,4A. CALLE 7-80 ZONA 1,12388674,hotelosangeles@hotmail.com,,299,299,,197.0
299,HOTEL REALEZA CAMBOTE,SECTOR 3 ZONA 11 CAMBOTE,44508610,,,300,300,,197.0
300,HOTEL RUINAS RESORT,9A. AVENIDA 1-09 ZONA 1,61700384,,www.hotelruinasresort.com.gt,301,301,4.0,197.0
301,HOTEL SAN FRANCISCO,"KILOMETRO 260, ZONA 5 CANTON SAN JOSE",36132634,hotelsanfrancisco_huehue@hotmail.com,www.hotelsanfrancisohuehue.com,302,302,,197.0
302,HOTEL SAUNA PREMIER,"2 CALLE, 5-37 ZONA 8 CORRAL CHIQUITO",48421574,"hotelpremier@gmail.com, hotel.premier@huehuetenango.com",www.huehuetenango.com,303,303,,197.0
303,HOTEL Y CENTRO DE CONVENCIONES CALIFORNIA,"CALZADA KAIBIL BALAM, KM. 260 ZONA 5",99160174,convencionescaliforniasa@hotmail.com,,304,304,,197.0
304,"HOTEL Y RESTAURANT ""PUERTA AL CIELO""","ALDEA TOJOTZALE, CARRETERA INETERAMERICANA, KILOMETRO 260.5",25889072,cruzrosi2017@outlook.es,,305,305,,197.0
305,HOTEL Y RESTAURANT IMPERIAL,KM. 253.5 CARRETERA INTERAMERICANA OJECHEJEL,96883224,hotelyrestauranteimperial@outlook.es,,306,306,,197.0
306,HOTEL Y RESTAURANTE KRYSTAL PARRA-CAFE,CANTON SAN JOSE ZONA 5,61979356,w_valo_w@hotmail.com,,307,307,,197.0
307,HOTEL Y RESTAURANTE ORO CAFÉ,"6 AVENIDA ""A"" 12-09 ZONA 5 CANXAC",33873966,13wgenaro@gmail.com,,308,308,,197.0
308,HOTEL ZACULEU,5 AVENIDA 1-14 ZONA 1,31340057,recepcion@hotelzaculeu.info,,309,309,,197.0
309,LA CHACRA DE JOEL HOTEL,4 AVENIDA 1-128 ZONA 8,48332319,lachacradejoelhotel@gmail.com,,310,310,,197.0
310,MARIO´S HOTEL,ZONA 11 ALDEA CAMBOTE SECTOR 2,85672976,estuardo33gomez@gmail.com,,311,311,,197.0
311,MONTS HOTEL,KILOMETRO 257.5 CALZADA KAIBIL BALAM CAMBOTE ZONA 11,52968834,gerencia@hotelmont.com,www.hotelmont.com,312,312,,197.0
312,NEW QUALITY HOTEL,"ZONA 11 COLONIA LAS TERRAZAS, CAMBOTE",16571367,hotelqualityhuehue@hotmail.com,,313,313,,197.0
313,ROYAL PARK HOTEL,6 AVENIDA 2-34 ZONA 1,45350571,hotelroyalpark1@gmail.com,,314,314,,197.0
314,VICTORIA HOTEL Y RESTAURANTE,"2 AVENIDA, 0-26 ZONA 1",81186307,hotel.victoria.24364@gmail.com,,315,315,,197.0
315,HOTEL GRAND COPAL,SAN ILDEFONSO,75255361,milenioeterno@hotmail.com,,316,316,,204.0
316,HOTEL LA TORRE,CANTÓN PILA,85821296,jimenezdiazalfredoanibal@gmail.com,,317,317,,203.0
317,HOTEL Y RESTAURANT JEFFREY,CANTON PARROQUIA,84555922,manueltrinidadestebanhernandez@gmail.com,,318,318,,203.0
318,"HOTEL ""BERENESI""",ALDEA LA MESILLA,65689054,,,319,319,,208.0
319,"HOTEL ""VILLA LAURA""","BARRIO LA CRUZ, LA MESILLA",55009065,,,320,320,,208.0
320,HOTEL & RESORT LA CEIBA,"ALDEA CAMOJA GRANDE, SECTOR LOS ANGELES, KILOMETRO 328.5 CARRETERA A NENTON",54767041,laceibaresort@gmail.com,www.laceibahotelresort.com,321,321,3.0,208.0
321,HOTEL MARIA EUGENIA,"CALLE PRINCIPAL, ALDEA LA MESILLA",93792373,,,322,322,,208.0
322,HOTEL MARIA EUGENIA NO. 2,"CALLE PRINCIPAL, LA MESILLA",71465890,,,323,323,,208.0
323,HOTEL OASIS,"CALLE PRINCIPAL, LA MESILLA",40049367,,,324,324,,208.0
324,HOTEL SALEM,"KM. 327 CARRETERA INTERAMERICANA 200 MTS. DESPUES DEL PARQUE CENTRAL, ALDEA CAMOJÁ",59097121,,,325,325,,208.0
325,HOTEL TEXAS,ALDEA CAMOJALLITO,94866384,ofigil12@gmail.com,,326,326,,208.0
326,HOTEL Y RESTAURANT EL REPOSO,"KILOMETRO 331.5 CARRETERA INTERAMERICANA, EL REPOSO",32332016,elreposo_4@hotmail.com,,327,327,,208.0
327,HOTEL Y RESTAURANTE MANOLO,ALDEA CAMOJALLITO,51006962,hotel-manolo@hotmail.com,,328,328,,208.0
328,HOTEL Y RESTAURANTE VALLE OCCIDENTAL,ALDEA CAMOJALLITO,17085418,valleoccidental@hotmail.com,www.valleoccidental.com,329,329,2.0,208.0
329,HOTEL PIEDRAS NEGRAS,KILOMETRO 252 CARRETERA INTERAMERICANA CASERIO PIEDRAS NEGRAS CACUM,82624637,,,330,330,,199.0
330,HOTEL EL DORADO,ALDEA GRACIAS A DIOS,21500845,hoteleldoradogad@outlook.com,,331,331,,201.0
331,HOTEL CASA DON CARLOS,FRENTE AL PARQUE CENTRAL CANTON CENTRAL,61468423,,,332,332,,220.0
332,HOTEL REFORMA,CANTON REFORMA,90602680,,,333,333,,220.0
333,"MINI PLAZA TABLÓN, HOTEL Y RESTAURANT",ALDEA EL TABLÓN,14935217,hotelplazatablon2020@gmail.com,,334,334,,220.0
334,HOTEL LUZ DE LUNA,"CABECERA MUNICIPAL, SALIDA A LA ALDEA LOS ALISOS",81302882,midaliah931@gmail.com,,335,335,,202.0
335,HOTEL RINCÓN TIGRE,KM. 345.5 SECTOR CUATRO CAMINOS ALDEA YUXEN LOCAL 7,22233309,hotelrincontigre@gmail.com,,336,336,,227.0
336,HOTEL FRAN-PAB,CANTON SATACNA,61583548,fran_pabhotel@yahoo.com,,337,337,,213.0
337,HOTEL GRAND ROYAL,ENTRADA PRINCIPAL CANTON YULK´OL,86510809,dieguez277@hotmail.com,,338,338,,213.0
338,GRAND HOTEL & RESTAURANT BICENTENARIO,"ALDEA IXLACUITZ, SECTOR MINA PIEDRIN",91154701,alfrebp@gmail.com,,339,339,,91.0
339,HOTEL Y RESTAURANT LA VILLA,"ALDEA IXTENAM, SAN PEDRO",11055504,,,340,340,,91.0
340,HOTEL ZOLOMIZAH,3 AVENIDA 9-42 ZONA 4,38267868,grupofeshantemg@gmail.com,www.zolomizah.com,341,341,,91.0
341,CALLE REAL HOTEL RESTAURANTE CAFE BAR,3A. CALLE 7-41 ZONA 1,27113537,hotelrestaurante.callereal@gmail.com,www.hotelcallereal.wordpress.com,342,342,,292.0
342,HOTEL JARDINES DEL LAGO,BARRIO EL CENTRO ZONA 1,77368983,aguilasool@hotmail.com,,343,343,,292.0
343,HOTEL VILLELA,6A. AVENIDA 2-05 ZONA 1,46112001,walterarenas@gmail.com,,344,344,,292.0
344,HOTEL VISTA AL LAGO,"6A. AVENIDA, 1-13 ZONA 1",72149454,vistalago@intelnett.com,,345,345,,292.0
